Datetime (date and time of sample collection),Days since 741001,"Sample Time Window, days","Flow, CFS","SS, mg/L (suspended solids)","TP, mg/L as P","SRP, mg/L, as P","NO23, mg/L as N","TKN, mg/L (Total Kjeldahl nitrogen)","Chloride, mg/L","Sulfate, mg/L","Silica, mg/L","Conductivity, ¦Ìmho","Future, NA",Month
3/11/2019 12:00,,0.22,82.5,25.974,0.100,0.006,1.22,0.801,121.6,34.1,6.49,861,,3
3/11/2019 20:00,,0.33,78.6,18.794,0.078,0.015,1.36,0.731,128.2,36.7,6.67,893,,3
3/12/2019 04:00,,0.33,60.4,24.983,0.081,0.014,1.38,0.748,122.7,37.0,6.59,891,,3
3/12/2019 12:00,,0.67,44.4,15.121,0.070,0.016,1.45,0.646,124.0,38.4,6.77,899,,3
3/13/2019 12:00,,1.00,33.7,14.433,0.057,0.013,1.55,0.702,126.5,40.5,6.64,925,,3
3/14/2019 12:00,,0.67,40.4,12.186,0.062,0.016,1.49,0.668,142.7,39.4,6.01,963,,3
3/14/2019 20:00,,0.33,59.5,24.579,0.089,0.016,1.60,0.751,143.8,36.7,6.15,948,,3
3/15/2019 04:00,,0.33,75.7,24.822,0.094,0.021,1.71,1.299,125.6,34.5,6.61,883,,3
3/15/2019 12:00,,0.67,87.2,17.532,0.076,0.019,1.65,0.731,112.9,34.2,6.85,839,,3
3/16/2019 12:00,,1.00,115.0,20.040,0.067,0.020,2.02,0.66,121.7,38.3,7.15,893,,3
3/17/2019 12:00,,0.83,70.6,22.364,0.054,0.014,2.03,0.682,122.1,38.7,6.74,916,,3
3/18/2019 04:00,,0.45,52.7,18.543,0.052,0.018,1.96,0.69,124.1,40.3,6.66,932,,3
3/18/2019 09:41,,0.17,48.1,90.488,0.129,0.015,2.07,0.772,126.7,41.7,6.74,929,,3
3/18/2019 12:00,,0.55,46.0,19.480,0.050,0.007,2.18,0.658,125.0,40.4,6.40,934,,3
3/19/2019 12:00,,1.00,36.3,14.726,0.051,0.010,2.04,0.631,128.0,41.7,5.86,940,,3
3/20/2019 12:00,,1.00,32.5,7.393,0.042,0.013,1.89,0.632,128.0,42.0,5.59,944,,3
3/21/2019 12:00,,1.00,35.9,9.914,0.043,0.013,1.85,0.709,145.9,43.8,5.40,999,,3
3/22/2019 12:00,,1.00,35.5,7.157,0.040,0.010,1.83,0.646,134.8,43.1,5.78,962,,3
3/23/2019 12:00,,1.00,29.7,59.020,0.092,0.012,1.65,0.831,133.6,42.7,5.54,967,,3
